recommendation_id,review_text,recommended,helpful_votes,funny_votes,playtime_hours,playtime_at_review_hours,review_date,early_access
226426080,"Inicialmente no me esperaba gran cosa de este juego puesto que no es muy mi estilo, pero un amigo me convenció de probarlo y después de un par de horas puedo decir que es un juego que sorprendió bastante y para ser un indie, cumple bastante bien las expectativas. 

✅ [b]Gameplay y Combate[/b], El punto mas fuerte del juego, combate rápido y bastante satisfactorio, especialmente el sistema de cambio de personaje en tiempo real. Poder encadenar habilidades y combos entre personajes hace que el gameplay se siente muy dinámico y agresivo constantemente.
✅ [b]Diseño Artístico y Ambientación[/b], Estéticamente se ve muy llamativo, mezclando ciencia ficción con un tono algo postapocalíptico. Hay escenarios que visualmente destacan bastante gracias al uso de la iluminación, partículas y efectos durante el combate.
✅ [b]Diseño de enemigos[/b], Aunque algunos enemigos pueden sentirse repetitivos después de varias runs, los diseños en general están bien logrados, en incluso los jefes tienen buena apariencia visual.
✅ [b]Gráficos y Efectos[/b], Visualmente el juego se ve bastante bien para el tipo de juego que es, los efectos de partículas, ataques, reflejos y destrucción ayudan mucho a que el combate se vea bien y en movimiento.
✅ [b]Transformaciones y Personajes[/b], El cambio instantáneo entre personajes la verdad, es una mecánica bastante bien lograda y muy divertida al momento de usarse. Cada uno tiene su propio estilo de combate y eso ayuda bastante a que las runs no se sientan exactamente iguales.

❌ [b]Contenido[/b], Ah pesar de que el gameplay te mantiene enganchado, todavía se siente algo limitado en cuanto contenido. Pasado un tiempo de varias runs, el juego empieza a sentirse repetitivo en cuanto enemigos, jefes, biomas, eventos o Builds mas variadas para mantener el interés durante mas horas.

Personalmente no esperaba mucho de este titulo, pero termino gustando bastante y siendo mas de lo que esperaba, a pesar de que si le falta contenido al mismo, es un juego que tiene potencial y según los desarrolladores con el paso del tiempo seguirán sacando aun mas y mas contenido para mantener el juego activo y mas duradero.
No reinventa el género Hack & Slash, pero pero lo que ofrece y el presupuesto que hubo detrás, termina siendo un indie sorprendentemente sólido.",True,11,3,8.37,8.37,2026-05-26,True
226009474,"在之前看到过早期演示，我对这个游戏印象很好……但是，bro，这游戏目前的水平根本没打磨能拿出来卖的程度吧
镜头外敌人攻击没有提示、
换房间没有路线提示、
迷之意味不明的跑图、
闪反是免费的但是新档进游戏默认不给，要自己去解锁
敌人攻击的警示大概是根据敌人体型缩放的？小体型敌人攻击的警示在特效下基本看不到
看了一下解锁内容肉鸽成分基本等于没有
敌人受击动作成谜
一个主打高速战斗的游戏技能CD不在中心小图标亮灯提示，而是在右下角，你是想让玩家注意力放在哪里、看什么啊朋友？


美工给到夯，战斗设计给到NPC，引导和UI给到拉完了纯属门外汉级别",False,9,0,0.3,0.3,2026-05-20,True
225448560,"This is a good game to pick up. It's early access right now, so there are only two biomes and third one is supposed to be released in a few days. There is 20-30 hrs of content already in the game, as the nature of it is that you start as weak as you can be and through runs you gather stuff to unlock permanent perks that will put you in a good spot and level the playing field.

It's hack and slash. You have 2 slots for skills and an ultimate you charge through attacks. You start as a fast character, Flux, that has a teleport skill and soon after you unlock Ekku, the slow attacking heavy-hitter that is featured in the banner.

You will need to beat the first biome character to unlock the third crowd-control character who has pull, push area skills as well as locking 1 or more enemies. Vekta usually fights in the air.

Each character can choose between 2 skills for each slot they have, so in total they have 3 slots for 6 skills. Over time, you can choose your skills from the get go and upgrade them over the run. Each biome has two upgrade stations, one mid-way through the biome and one before facing the boss.

Bosses have 3 phases. First boss is OK but second boss has some really crazy setup right now. It's also buggy. Speaking of bugs, game has some that will kill your runs. Indeed not welcome but expected and accepted for early access game.

There are just a handful of people making this game, so for that kudos to them. Reddit is not active but if you need help or want to vent, discord has some regulars. Good luck and enjoy!
",True,6,0,41.2,29.98,2026-05-14,True
226527884,"Absolutely Amazing. This game is as amazing as we all thought Anthem would be after seeing the first trailer ( no you dont fly around like ironman in this game) its NON-STOP action done in a thoughtful, artistic,  fun,and unique way. 10/10 easily if you love action rogue like game. loads and loads to do and upgrade.",True,3,1,3.02,0.12,2026-05-27,True
226434950,"it is SO FUN AND CLEAN, when they start to add content like more characters, upgrades in runs, and permanent buffs, it will be so amazing. new moves would be brilliant and set builds.",True,2,0,11.4,8.07,2026-05-26,True
225697197,"I think the game is very good for what it is. The combat loop is nice. But personally, I don't think there's much variety in the loop, and for me it's essentially just a rough like game where I can spend hours. 
In that game, there isn't much tactical variety; it's the same loop: kill, upgrade, repeat. But the upgrades don't change how you need to play the run tactically or anything. 
If you enjoyed games like Risk of Rain 2, you'll love this game. But if you need tactical variety in a roguelike, like in Bataltro, you won't enjoy it for long.",True,2,0,14.4,14.4,2026-05-17,True
225782436,"Не ожидал многого, но зацепил трейлер

Плюсы:
- Неожиданно бодрая и интересная боёвка
- Дизайн локаций
- Общая картинка и атмосфера

Минусы:
- Вариативности не много, одни и те же скиллы, улучшения, рогаликом назвать тяжело
- Контента не много, включая противников, спустя пару часов игры просто играешь по выверенной стратегии и фармишь валюту для мета-прогрессии, иначе для завершения игры просто не хватает статов, я играл на сложности ""regular"" и прошёл за 6 часов весь контент (я понимаю, что это ранний доступ, но всё же)
- Оптимизация хромает, играбельно, но даже 150 фпс на средних в 2к не получилось вытянуть",True,2,0,6.3,6.3,2026-05-17,True
225593521,Truly a very Original Game and one of the only Singleplayer games that i can actually enjoy without company,True,2,1,13.4,2.08,2026-05-16,True
227796006,"wow where has this been, why did no one tell me. 9/10 at least for how cheap it is and good/fluid the game feel is",True,1,0,3.03,0.5,2026-06-12,True
227306261,"Morbid Metal is a good game with interesting ideas but really needs some update. I'll still recommend it because I have faith in the devs. The combat is very satisfying, but the thing is that you are stuck in the same gameplay loop very fast. You'll use the same build, fight the same bosses, in the same rooms. It needs to have way more diversed gameplay options to be a good roguelike, because right now you'll get bored after 10 hours max. And roguelike are good because of one thing : their replayability. Maybe some new characters to be able to change who you choose as your trio, some new powers for each characters, maybe some skins, some new perks that changes how a character is played for example. But the game is in early access so... let's wait I guess. Also, the game doesn't run bad by any means, but I feel like it could use a bit of optimization.

TL:DR : Some great ideas overall, but needs to be updated ASAP because of the lack of content and replayability.",True,1,0,7.38,6.48,2026-06-06,True
